"#","MENGE","TEILENUMMER","HERSTELLER-TEILENUMMER","BESCHREIBUNG","KUNDENREFERENZ","LIEFERRÜCKSTÄNDE","STÜCKPREIS","GESAMTPREIS"
"1","30","277-1667-ND","1935161","TERM BLK 2POS SIDE ENTRY 5MM PCB","","0","0,37800","11,34"
"2","5","277-1779-ND","1988956","TERM BLOCK 2POS 45DEG 3.5MM PCB","","5","0,44000","2,20"
"3","5","277-1780-ND","1988969","TERM BLOCK 3POS 45DEG 3.5MM PCB","","5","0,66000","3,30"
"4","20","277-1578-ND","1935174","TERM BLK 3POS SIDE ENTRY 5MM PCB","","0","0,53300","10,66"
"5","3","WM1791-ND","0430450612","CONN HEADER VERT 6POS 3MM","","0","1,22000","3,66"
"6","3","WM3811-ND","0039281243","CONN HEADER VERT 24POS 4.2MM","","0","3,20000","9,60"
"7","5","DMMT5401-FDICT-ND","DMMT5401-7-F","TRANS 2PNP 150V 0.2A SOT26","","0","0,38000","1,90"
"8","5","401-2001-ND","JS202011CQN","SWITCH SLIDE DPDT 300MA 6V","","0","0,42000","2,10"
"9","10","732-5317-ND","61300411121","CONN HEADER VERT 4POS 2.54MM","","0","0,14100","1,41"
"10","6","Z6367-ND","G5Q-1A4-EL3-HA DC5","RELAY GEN PURPOSE SPST 10A 5V","","0","1,37000","8,22"
